tweet_id,favorite_count,retweet_count,url,created_at,tweet_source
794355576146903043,0,11716,https://t.co/x5gXRS1abq,Fri Nov 04 01:48:22 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
794332329137291264,10510,3008,https://t.co/yF6kcAT3gx,Fri Nov 04 00:15:59 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
794205286408003585,10137,3788,https://t.co/6vnu1aYjbU,Thu Nov 03 15:51:10 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793962221541933056,18538,5568,https://t.co/xIfrsMNLBR,Wed Nov 02 23:45:19 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793845145112371200,10129,2130,https://t.co/2Xo19aPrG5,Wed Nov 02 16:00:06 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793614319594401792,0,3568,https://t.co/O5IUmRHRIh,Wed Nov 02 00:42:53 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793601777308463104,8783,1859,https://t.co/LhzPWv6rTv,Tue Nov 01 23:53:02 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793500921481273345,11766,2712,https://t.co/aF5MmpvPqN,Tue Nov 01 17:12:16 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793286476301799424,27119,10451,https://t.co/rLHGx3VAF3,Tue Nov 01 03:00:09 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793271401113350145,9498,2683,https://t.co/NA1VR1PkjD,Tue Nov 01 02:00:14 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793256262322548741,21988,9462,https://t.co/BNy9IIJMb0,Tue Nov 01 01:00:05 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793241302385262592,11589,3727,https://t.co/Ap477GhwXt,Tue Nov 01 00:00:38 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793226087023144960,10822,3250,https://t.co/K4dvelOMsM,Mon Oct 31 23:00:11 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793210959003287553,9831,3214,https://t.co/etL8FHBrh8,Mon Oct 31 22:00:04 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793195938047070209,16800,6383,https://t.co/YSi6K1firY,Mon Oct 31 21:00:23 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793180763617361921,7602,2251,https://t.co/2VhmlwxA1Q,Mon Oct 31 20:00:05 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793165685325201412,10345,3164,https://t.co/cXDCGTiL1x,Mon Oct 31 19:00:10 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793150605191548928,6785,1942,https://t.co/3lE8Izgmkf,Mon Oct 31 18:00:14 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793135492858580992,7101,2823,https://t.co/PrgvOyPtDT,Mon Oct 31 17:00:11 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
793120401413079041,13955,4436,https://t.co/asFvEjQQsl,Mon Oct 31 16:00:13 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
792913359805018113,15795,4578,https://t.co/LRyMrU7Wfq,Mon Oct 31 02:17:31 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
792883833364439040,12452,4854,https://t.co/v17mFm0Ftz,Mon Oct 31 00:20:11 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
792773781206999040,8073,1916,https://t.co/RhaPExuxJL,Sun Oct 30 17:02:53 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
792394556390137856,14865,4878,https://t.co/of0pFNBIl8,Sat Oct 29 15:55:58 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
792050063153438720,7907,2037,https://t.co/kte5KPffQj,Fri Oct 28 17:07:05 +0000 2016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
